tair_id,gene_length,in_rnaseq,in_microarray
AT1G01010,1688.0,True,True
AT1G01020,1571.0,True,False
AT1G01030,1905.0,True,True
AT1G01040,6279.0,True,True
AT1G01046,207.0,True,False
AT1G01050,1165.0,True,True
AT1G01060,3421.0,True,True
AT1G01070,1831.0,True,True
AT1G01080,1774.0,True,True
AT1G01090,1896.0,True,True
AT1G01100,856.0,True,True
AT1G01110,2200.0,True,True
AT1G01120,2052.0,True,True
AT1G01130,375.0,True,True
AT1G01140,1856.0,True,True
AT1G01150,1603.0,True,True
AT1G01160,1147.0,True,True
AT1G01170,515.0,True,True
AT1G01180,1456.0,True,True
AT1G01183,111.0,True,False
AT1G01184,,True,False
AT1G01190,1751.0,True,True
AT1G01200,1207.0,True,True
AT1G01210,1081.0,True,False
AT1G01220,3963.0,True,True
AT1G01225,1077.0,True,True
AT1G01230,876.0,True,True
AT1G01240,2123.0,True,True
AT1G01250,891.0,True,True
AT1G01260,2754.0,True,True
AT1G01270,72.0,True,False
AT1G01280,1602.0,True,True
AT1G01290,2021.0,True,True
AT1G01300,2062.0,True,True
AT1G01305,617.0,True,False
AT1G01310,977.0,True,True
AT1G01320,6079.0,True,True
AT1G01330,,False,True
AT1G01335,123.0,True,False
AT1G01340,2686.0,True,True
AT1G01350,1434.0,True,False
AT1G01355,878.0,True,False
AT1G01360,1179.0,True,True
AT1G01370,1779.0,True,True
AT1G01380,854.0,True,True
AT1G01390,1836.0,True,True
AT1G01400,1145.0,True,False
AT1G01410,1086.0,True,True
AT1G01420,1812.0,True,True
AT1G01430,2134.0,True,True
AT1G01440,2830.0,True,True
AT1G01448,2386.0,True,False
AT1G01450,1413.0,True,True
AT1G01453,1500.0,True,False
AT1G01460,1837.0,True,True
AT1G01470,1348.0,True,True
AT1G01480,2068.0,True,True
AT1G01490,2239.0,True,True
AT1G01500,1773.0,True,True
AT1G01510,2637.0,True,True
AT1G01520,1588.0,True,True
AT1G01530,758.0,True,True
AT1G01540,2227.0,True,True
AT1G01550,1698.0,True,True
AT1G01560,1848.0,True,True
AT1G01570,1885.0,True,True
AT1G01580,2850.0,True,False
AT1G01590,2624.0,True,False
AT1G01600,2323.0,True,True
AT1G01610,1916.0,True,True
AT1G01620,1549.0,True,True
AT1G01630,1479.0,True,True
AT1G01640,1126.0,True,True
AT1G01650,2789.0,True,True
AT1G01660,2026.0,True,True
AT1G01670,1693.0,True,True
AT1G01680,1187.0,True,False
AT1G01690,1858.0,True,True
AT1G01695,1658.0,True,False
AT1G01700,2108.0,True,True
AT1G01710,1701.0,True,True
AT1G01715,884.0,True,False
AT1G01720,1653.0,True,True
AT1G01725,537.0,True,True
AT1G01730,1197.0,True,True
AT1G01740,2049.0,True,True
AT1G01750,1048.0,True,True
AT1G01760,1583.0,True,True
AT1G01770,2377.0,True,True
AT1G01780,939.0,True,True
AT1G01790,4347.0,True,True
AT1G01800,1240.0,True,True
AT1G01810,653.0,True,False
AT1G01820,1262.0,True,True
AT1G01830,2698.0,True,True
AT1G01840,822.0,True,True
AT1G01860,1581.0,True,True
AT1G01870,73.0,True,False
AT1G01880,2263.0,True,False
AT1G01890,73.0,True,False
AT1G01900,2607.0,True,True
AT1G01910,1823.0,True,True
AT1G01920,2371.0,True,True
AT1G01930,2101.0,True,True
AT1G01940,877.0,True,True
AT1G01950,3213.0,True,True
AT1G01960,5825.0,True,True
AT1G01970,1710.0,True,True
AT1G01980,1933.0,True,True
AT1G01990,1483.0,True,True
AT1G02000,2088.0,True,True
AT1G02010,3073.0,True,False
AT1G02020,2513.0,True,True
AT1G02030,2135.0,True,False
AT1G02040,1173.0,True,False
AT1G02050,1540.0,True,True
AT1G02060,2225.0,True,True
AT1G02065,2153.0,True,False
AT1G02070,789.0,True,True
AT1G02080,7649.0,True,True
AT1G02090,1820.0,True,True
AT1G02100,1435.0,True,True
AT1G02110,2314.0,True,True
AT1G02120,2251.0,True,True
AT1G02130,1110.0,True,True
AT1G02136,,True,False
AT1G02140,875.0,True,True
AT1G02145,1724.0,True,False
AT1G02150,1979.0,True,True
AT1G02160,606.0,True,True
AT1G02170,1451.0,True,True
AT1G02180,922.0,True,True
AT1G02190,2195.0,True,True
AT1G02200,,False,True
AT1G02205,3593.0,True,True
AT1G02210,264.0,True,False
AT1G02220,1590.0,True,True
AT1G02230,1436.0,True,True
AT1G02250,1180.0,True,True
AT1G02260,2579.0,True,True
AT1G02270,1828.0,True,True
AT1G02280,1214.0,True,True
AT1G02290,1767.0,True,False
AT1G02300,1464.0,True,True
AT1G02305,1407.0,True,True
AT1G02310,1525.0,True,True
AT1G02320,147.0,False,True
AT1G02330,1193.0,True,True
AT1G02335,990.0,True,False
AT1G02340,1522.0,True,True
AT1G02350,423.0,True,False
AT1G02360,1294.0,True,True
AT1G02370,1986.0,True,True
AT1G02380,1317.0,True,False
AT1G02390,2074.0,True,True
AT1G02400,1497.0,True,True
AT1G02405,754.0,True,False
AT1G02410,1521.0,True,True
AT1G02420,1520.0,True,True
AT1G02430,972.0,True,True
AT1G02440,952.0,True,False
AT1G02450,623.0,True,True
AT1G02460,2079.0,True,True
AT1G02470,1011.0,True,True
AT1G02475,1091.0,True,True
AT1G02480,73.0,True,False
AT1G02490,298.0,True,True
AT1G02500,1751.0,True,True
AT1G02510,1086.0,True,False
AT1G02520,4522.0,True,False
AT1G02530,4221.0,True,True
AT1G02540,873.0,True,True
AT1G02550,729.0,True,True
AT1G02560,1479.0,True,True
AT1G02570,1010.0,True,True
AT1G02575,1047.0,True,False
AT1G02580,2414.0,True,True
AT1G02590,270.0,True,False
AT1G02600,72.0,True,False
AT1G02610,1473.0,True,False
AT1G02620,1383.0,False,True
AT1G02630,1783.0,True,False
AT1G02640,2773.0,True,True
AT1G02650,1916.0,True,False
AT1G02660,2842.0,True,True
AT1G02670,3030.0,True,True
AT1G02680,907.0,True,True
AT1G02681,,True,False
AT1G02690,2174.0,True,True
AT1G02700,1356.0,True,True
AT1G02710,291.0,True,True
AT1G02720,2583.0,True,True
AT1G02730,3925.0,True,True
AT1G02740,1566.0,True,True
AT1G02750,1103.0,True,True
AT1G02770,1233.0,True,False
AT1G02780,1109.0,True,True
AT1G02790,1686.0,True,True
AT1G02800,1823.0,True,True
AT1G02810,2132.0,True,True
AT1G02813,652.0,True,True
AT1G02816,1602.0,True,True
AT1G02820,816.0,True,True
AT1G02830,445.0,True,True
AT1G02840,2028.0,True,True
AT1G02850,2196.0,True,True
AT1G02860,1547.0,True,True
AT1G02870,847.0,True,True
AT1G02880,1995.0,True,False
AT1G02890,4233.0,True,True
AT1G02900,854.0,True,True
AT1G02910,1716.0,True,True
AT1G02920,1213.0,True,False
AT1G02930,1186.0,True,True
AT1G02940,975.0,True,True
AT1G02950,982.0,True,True
AT1G02952,579.0,True,False
AT1G02960,1924.0,True,True
AT1G02965,489.0,True,False
AT1G02970,1897.0,True,True
AT1G02980,2488.0,True,True
AT1G02990,4845.0,True,False
AT1G03000,3295.0,True,True
AT1G03010,2694.0,True,True
AT1G03020,673.0,True,True
AT1G03030,1623.0,True,True
AT1G03040,1666.0,True,True
AT1G03050,2222.0,True,True
AT1G03055,1126.0,True,True
AT1G03060,11999.0,True,True
AT1G03070,1248.0,True,True
AT1G03080,6167.0,True,True
AT1G03090,2741.0,True,True
AT1G03100,2817.0,True,True
AT1G03103,640.0,True,False
AT1G03106,934.0,True,False
AT1G03110,1577.0,True,True
AT1G03120,681.0,True,False
AT1G03130,956.0,True,True
AT1G03140,1553.0,True,True
AT1G03150,809.0,True,True
AT1G03160,3005.0,True,True
AT1G03165,228.0,True,False
AT1G03170,2309.0,True,True
AT1G03180,1577.0,True,True
AT1G03190,2771.0,True,True
AT1G03210,1095.0,True,True
AT1G03220,1891.0,True,True
AT1G03230,1870.0,True,False
AT1G03240,547.0,True,True
AT1G03250,1458.0,True,True
AT1G03260,1443.0,True,True
AT1G03270,1765.0,True,True
AT1G03280,2330.0,True,True
AT1G03290,4861.0,True,True
AT1G03300,2013.0,True,True
AT1G03310,3076.0,True,True
AT1G03320,701.0,True,True
AT1G03330,775.0,True,True
AT1G03340,1507.0,True,False
AT1G03350,1829.0,True,True
AT1G03360,1325.0,True,True
AT1G03365,3333.0,True,False
AT1G03370,4193.0,True,True
AT1G03380,4183.0,True,True
AT1G03390,1386.0,True,True
AT1G03395,229.0,True,False
AT1G03400,1469.0,True,True
AT1G03410,2652.0,True,True
AT1G03420,,True,True
AT1G03430,1334.0,True,True
AT1G03440,2147.0,True,True
AT1G03445,2820.0,True,True
AT1G03457,2089.0,True,True
AT1G03470,1372.0,True,True
AT1G03475,1743.0,True,True
AT1G03490,846.0,True,True
AT1G03495,1311.0,True,True
AT1G03510,1470.0,True,True
AT1G03515,72.0,True,False
AT1G03520,2137.0,True,True
AT1G03530,2921.0,True,True
AT1G03540,1929.0,True,True
AT1G03550,1424.0,True,True
AT1G03560,2338.0,True,True
AT1G03570,72.0,True,False
AT1G03580,,True,False
AT1G03590,2219.0,True,True
AT1G03600,1315.0,True,True
AT1G03610,1974.0,True,True
AT1G03620,2482.0,True,True
AT1G03630,1787.0,True,True
AT1G03640,73.0,True,False
AT1G03650,892.0,True,False
AT1G03660,1202.0,True,True
AT1G03670,1851.0,True,False
AT1G03675,,False,True
AT1G03680,957.0,True,False
AT1G03687,1546.0,True,True
AT1G03700,837.0,True,True
AT1G03710,1040.0,True,True
AT1G03720,925.0,True,True
AT1G03730,1271.0,True,True
AT1G03740,3294.0,True,True
AT1G03743,81.0,True,False
AT1G03746,85.0,True,False
AT1G03750,2777.0,True,True
AT1G03760,1382.0,True,True
AT1G03770,2538.0,True,True
AT1G03780,2906.0,True,True
AT1G03790,1855.0,True,True
AT1G03800,1280.0,True,False
AT1G03810,432.0,True,False
AT1G03820,1127.0,True,True
AT1G03830,3654.0,True,True
AT1G03840,1923.0,True,True
